110.25 101 
-7.76482 -6.53981 0.666845 
-7.75257 -6.74551 0.715847 
-7.7425 -6.95029 0.766234 
-7.73458 -7.15419 0.818003 
-7.72877 -7.35728 0.871156 
-7.72506 -7.55959 0.925696 
-7.7234 -7.76119 0.981626 
-7.72378 -7.9621 1.03895 
-7.72616 -8.16238 1.09768 
-7.73053 -8.36207 1.15781 
-7.73684 -8.56121 1.21937 
-7.74509 -8.75985 1.28236 
-7.75523 -8.95802 1.34678 
-7.76726 -9.15576 1.41266 
-7.78115 -9.35311 1.48001 
-7.79687 -9.55012 1.54884 
-7.8144 -9.7468 1.61917 
-7.83372 -9.94321 1.69102 
-7.85482 -10.1394 1.7644 
-7.87766 -10.3353 1.83934 
-7.90224 -10.531 1.91585 
-7.92853 -10.7266 1.99396 
-7.95651 -10.9221 2.07369 
-7.98616 -11.1175 2.15506 
-8.01748 -11.3127 2.2381 
-8.05043 -11.508 2.32283 
-8.085 -11.7032 2.40928 
-8.12119 -11.8984 2.49748 
-8.15896 -12.0936 2.58745 
-8.19831 -12.2888 2.67922 
-8.23921 -12.4841 2.77282 
-8.28166 -12.6795 2.86829 
-8.32564 -12.875 2.96565 
-8.37113 -13.0705 3.06493 
-8.41813 -13.2662 3.16617 
-8.46661 -13.462 3.26941 
-8.51656 -13.6579 3.37466 
-8.56797 -13.854 3.48198 
-8.62083 -14.0502 3.5914 
-8.67513 -14.2465 3.70295 
-8.73084 -14.4431 3.81666 
-8.78796 -14.6398 3.93258 
-8.84648 -14.8366 4.05075 
-8.90638 -15.0337 4.1712 
-8.96765 -15.2309 4.29397 
-9.03029 -15.4282 4.41911 
-9.09427 -15.6257 4.54664 
-9.15958 -15.8234 4.67663 
-9.22622 -16.0212 4.80909 
-9.29417 -16.2191 4.94408 
-9.36342 -16.4172 5.08164 
-9.43396 -16.6154 5.22181 
-9.50577 -16.8137 5.36463 
-9.57885 -17.012 5.51016 
-9.65318 -17.2104 5.65842 
-9.72875 -17.4089 5.80946 
-9.80556 -17.6074 5.96334 
-9.88357 -17.8058 6.12009 
-9.9628 -18.0043 6.27975 
-10.0432 -18.2027 6.44238 
-10.1248 -18.401 6.60801 
-10.2076 -18.5992 6.7767 
-10.2915 -18.7972 6.94848 
-10.3765 -18.9951 7.1234 
-10.4627 -19.1927 7.30151 
-10.55 -19.3901 7.48284 
-10 4 0 
-9.86 3.716 -0.04 
-9.72424 3.43581 -0.0765331 
-9.59264 3.15935 -0.10974 
-9.46512 2.88654 -0.139754 
-9.3416 2.61731 -0.166702 
-9.22201 2.35157 -0.190708 
-9.10628 2.08925 -0.211885 
-8.99432 1.83025 -0.230346 
-8.88608 1.57451 -0.246193 
-8.78147 1.32194 -0.259528 
-8.68044 1.07245 -0.270444 
-8.58291 0.825982 -0.279033 
-8.48882 0.582439 -0.285378 
-8.39811 0.341747 -0.289561 
-8.31071 0.103827 -0.291659 
-8.22656 -0.131401 -0.291744 
-8.14561 -0.364013 -0.289885 
-8.0678 -0.594087 -0.286147 
-7.99306 -0.8217 -0.280591 
-7.92134 -1.04693 -0.273275 
-7.8526 -1.26984 -0.264253 
-7.78677 -1.49052 -0.253577 
-7.72381 -1.70903 -0.241294 
-7.66366 -1.92546 -0.22745 
-7.60628 -2.13986 -0.212088 
-7.55162 -2.3523 -0.195246 
-7.49962 -2.56287 -0.176962 
-7.45026 -2.77163 -0.157269 
-7.40347 -2.97863 -0.1362 
-7.35922 -3.18396 -0.113785 
-7.31747 -3.38767 -0.0900501 
-7.27817 -3.58983 -0.0650208 
-7.24129 -3.7905 -0.03872 
-7.20678 -3.98975 -0.0111686 
-7.17461 -4.18763 0.0176144 
-7.14474 -4.38421 0.047612 
-7.11713 -4.57953 0.0788091 
-7.09176 -4.77367 0.111192 
-7.06858 -4.96668 0.144749 
-7.04756 -5.15861 0.179471 
-7.02867 -5.34952 0.215348 
-7.01188 -5.53946 0.252373 
-6.99715 -5.72848 0.290542 
-6.98447 -5.91664 0.329851 
-6.97379 -6.10399 0.370296 
-6.96509 -6.29056 0.411876 
-6.95834 -6.47643 0.454592 
-6.95353 -6.66162 0.498445 
-6.95061 -6.84619 0.543438 
-6.94956 -7.03019 0.589574 
-6.95037 -7.21365 0.636858 
-6.953 -7.39662 0.685297 
-6.95744 -7.57914 0.734899 
-6.96365 -7.76126 0.78567 
-6.97163 -7.94301 0.837622 
-6.98134 -8.12443 0.890764 
-6.99277 -8.30556 0.945108 
-7.0059 -8.48645 1.00067 
-7.02071 -8.66711 1.05745 
-7.03717 -8.8476 1.11548 
-7.05528 -9.02795 1.17477 
-7.075 -9.20818 1.23533 
-7.09634 -9.38833 1.29719 
